,0,1
0,Expiration,"September 1st, 2021"
1,Certification Body,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)
2,Certification Address,Bahnhofstrasse 22
3,Certification Contact,Gloria Pedroza - +41417287296
