,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,3
1,Farm Name,嵩岳咖啡莊園,Bag Weight,60 kg
2,Lot Number,202004,In-Country Partner,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)
3,Mill,嵩岳咖啡莊園,Harvest Year,2020
4,ICO Number,,Grading Date,"September 1st, 2020"
5,Company,TCL 台灣咖啡研究室,Owner,郭亮志 GuoLiangZhi
6,Altitude,1200,Variety,Gesha
7,Region,雲林-石壁,Status,Completed
8,Producer,郭亮志,Processing Method,Natural / Dry
