,0,1,2,3
0,Aroma,8.58,Uniformity,10.0
1,Flavor,8.67,Clean Cup,10.0
2,Aftertaste,8.17,Sweetness,10.0
3,Acidity,8.25,Overall,8.5
4,Body,8.5,Defects,0.0
5,Balance,8.58,Total Cup Points,89.25
